,team,balbezit,Top10
107,Newcastle United,39,overig
108,Leicester City,62,top10
109,Huddersfield Town,38,overig
110,Liverpool,60,top10
111,Southampton,40,overig
112,Manchester United,64,top10
113,Wolverhampton Wanderers,36,top10
114,Brighton & Hove Albion,28,overig
115,Tottenham Hotspur,72,top10
116,West Ham United,28,top10
117,Chelsea,72,top10
118,Arsenal,62,top10
119,Everton,38,top10
120,West Ham United,49,top10
121,Manchester United,51,top10
122,Arsenal,63,top10
123,Watford,37,overig
124,Everton,51,top10
125,Fulham,49,overig
126,Huddersfield Town,52,overig
127,Tottenham Hotspur,48,top10
128,Manchester City,80,top10
129,Brighton & Hove Albion,20,overig
130,Newcastle United,41,overig
131,Leicester City,59,top10
132,Wolverhampton Wanderers,48,top10
133,Southampton,52,overig
134,Chelsea,47,top10
135,Liverpool,53,top10
136,Cardiff City,54,overig
137,Burnley,46,overig
138,AFC Bournemouth,44,overig
139,Crystal Palace,56,overig
140,Brighton & Hove Albion,35,overig
141,West Ham United,65,top10
142,Burnley,31,overig
143,Huddersfield Town,69,overig
144,Crystal Palace,67,overig
145,Wolverhampton Wanderers,33,top10
146,Leicester City,51,top10
147,Everton,49,top10
148,Tottenham Hotspur,75,top10
149,Cardiff City,25,overig
150,Watford,47,overig
151,AFC Bournemouth,53,overig
152,Manchester United,73,top10
153,Newcastle United,27,overig
154,Fulham,48,overig
155,Arsenal,52,top10
156,Southampton,34,overig
157,Chelsea,66,top10
158,Liverpool,49,top10
159,Manchester City,51,top10
160,Chelsea,62,top10
161,Manchester United,38,top10
162,AFC Bournemouth,57,overig
163,Southampton,43,overig
164,Cardiff City,40,overig
165,Fulham,60,overig
166,Manchester City,69,top10
167,Burnley,31,overig
168,Newcastle United,68,overig
169,Brighton & Hove Albion,32,overig
170,West Ham United,44,top10
171,Tottenham Hotspur,56,top10
172,Wolverhampton Wanderers,44,top10
173,Watford,56,overig
174,Huddersfield Town,47,overig
175,Liverpool,53,top10
176,Everton,59,top10
177,Crystal Palace,41,overig
178,Arsenal,69,top10
179,Leicester City,31,top10
180,Brighton & Hove Albion,39,overig
181,Wolverhampton Wanderers,61,top10
182,Fulham,52,overig
183,AFC Bournemouth,48,overig
184,Liverpool,79,top10
185,Cardiff City,21,overig
186,Southampton,50,overig
187,Newcastle United,50,overig
188,Watford,48,overig
189,Huddersfield Town,52,overig
190,Leicester City,64,top10
191,West Ham United,36,top10
192,Burnley,30,overig
193,Chelsea,70,top10
194,Crystal Palace,42,overig
195,Arsenal,58,top10
196,Manchester United,53,top10
197,Everton,47,top10
198,Tottenham Hotspur,48,top10
199,Manchester City,52,top10
200,AFC Bournemouth,48,overig
201,Manchester United,52,top10
202,Cardiff City,40,overig
203,Leicester City,60,top10
204,Everton,61,top10
205,Brighton & Hove Albion,39,overig
206,Newcastle United,41,overig
207,Watford,59,overig
208,West Ham United,62,top10
209,Burnley,38,overig
210,Arsenal,61,top10
211,Liverpool,39,top10
212,Wolverhampton Wanderers,48,top10
213,Tottenham Hotspur,52,top10
214,Manchester City,67,top10
215,Southampton,33,overig
216,Chelsea,73,top10
217,Crystal Palace,27,overig
218,Huddersfield Town,45,overig
219,Fulham,55,overig
220,Cardiff City,60,overig
221,Brighton & Hove Albion,40,overig
222,Huddersfield Town,43,overig
223,West Ham United,57,top10
224,Leicester City,63,top10
225,Burnley,37,overig
226,Newcastle United,39,overig
227,AFC Bournemouth,61,overig
228,Southampton,42,overig
229,Watford,58,overig
230,Crystal Palace,35,overig
231,Tottenham Hotspur,65,top10
232,Liverpool,73,top10
233,Fulham,27,overig
234,Chelsea,68,top10
235,Everton,32,top10
236,Arsenal,71,top10
237,Wolverhampton Wanderers,29,top10
238,Manchester City,64,top10
239,Manchester United,36,top10
240,Brighton & Hove Albion,54,overig
241,Leicester City,46,top10
242,Everton,70,top10
243,Cardiff City,30,overig
244,Fulham,37,overig
245,Southampton,63,overig
246,Manchester United,59,top10
247,Crystal Palace,41,overig
248,Watford,36,overig
249,Liverpool,64,top10
250,West Ham United,30,top10
251,Manchester City,70,top10
252,Tottenham Hotspur,39,top10
253,Chelsea,61,top10
254,AFC Bournemouth,41,overig
255,Arsenal,59,top10
256,Wolverhampton Wanderers,44,top10
257,Huddersfield Town,56,overig
258,Burnley,56,overig
259,Newcastle United,44,overig
260,Cardiff City,47,overig
261,Wolverhampton Wanderers,53,top10
262,Crystal Palace,58,overig
263,Burnley,42,overig
264,Huddersfield Town,32,overig
265,Brighton & Hove Albion,68,overig
266,Leicester City,37,top10
267,Watford,63,overig
268,Manchester City,73,top10
269,AFC Bournemouth,27,overig
